ID,S,I,State,Nature,Obs
0,424,76,0,0,0
1,420,80,0,0,0
2,427,73,0,0,0
3,436,64,0,0,0
4,428,72,0,0,0
5,422,78,0,0,0
6,438,62,0,0,0
7,424,76,0,0,0
8,430,70,0,0,0
9,429,71,0,0,0
10,422,78,0,0,0
11,439,61,0,0,0
12,437,63,0,0,0
13,443,57,0,0,0
14,422,78,0,0,0
15,433,67,0,0,0
16,434,66,0,0,0
17,436,64,0,0,0
18,428,72,0,0,0
19,424,76,0,0,0
20,433,67,0,0,0
21,426,74,0,0,0
22,434,66,0,0,0
23,425,75,0,0,0
24,435,65,0,0,0
25,444,56,0,0,0
26,423,77,0,0,0
27,437,63,0,0,0
28,437,63,0,0,0
29,445,55,0,0,0
30,450,50,0,0,0
31,432,68,0,0,1
32,437,63,0,0,0
33,440,60,0,0,0
34,426,74,0,0,0
35,434,66,0,0,0
36,450,50,0,0,0
37,427,73,0,0,0
38,451,49,0,0,0
39,456,44,0,0,0
