ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,0
2,500,0,0,0,0
3,500,0,0,0,0
4,0,500,1,1,1
5,0,500,1,0,0
6,428,72,0,0,0
7,428,72,0,0,0
8,0,500,1,1,1
9,0,500,1,1,1
10,0,500,1,1,1
11,0,500,1,1,1
12,0,500,1,1,1
13,0,500,1,1,1
14,500,0,0,0,0
15,0,500,1,1,1
16,72,428,1,1,1
17,0,500,1,1,1
18,0,500,1,1,1
19,0,500,1,1,1
20,0,500,1,1,0
21,0,500,1,0,0
22,0,500,1,1,1
23,0,500,1,1,1
24,0,500,1,1,0
25,500,0,0,0,0
26,0,500,1,1,1
27,286,214,0,0,0
28,0,500,1,0,0
29,0,500,1,1,1
30,142,358,1,1,1
31,215,285,1,1,1
32,0,500,1,1,0
33,500,0,0,0,0
34,0,500,1,1,0
35,500,0,0,0,0
36,213,287,1,1,1
37,0,500,1,1,1
38,0,500,1,1,0
39,500,0,0,0,0
