ID,S,I,State,Nature,Obs
0,133,367,1,1,1
1,1,499,1,1,1
2,0,500,1,1,1
3,128,372,1,0,0
4,0,500,1,1,1
5,3,497,1,1,1
6,19,481,1,1,1
7,0,500,1,1,1
8,70,430,1,1,1
9,0,500,1,1,1
10,15,485,1,1,1
11,70,430,1,1,1
12,52,448,1,1,1
13,61,439,1,0,1
14,0,500,1,1,1
15,2,498,1,1,1
16,89,411,1,1,0
17,138,362,1,0,1
18,30,470,1,0,0
19,25,475,1,0,0
20,2,498,1,1,1
21,33,467,1,1,1
22,30,470,1,1,1
23,2,498,1,1,1
24,113,387,1,0,0
25,265,235,0,1,1
26,0,500,1,1,1
27,80,420,1,1,0
28,68,432,1,1,1
29,199,301,1,1,1
30,99,401,1,1,1
31,1,499,1,1,1
32,0,500,1,1,1
33,141,359,1,1,1
34,20,480,1,1,1
35,69,431,1,1,1
36,0,500,1,1,0
37,30,470,1,1,0
38,263,237,0,1,1
39,10,490,1,1,1
