ID,S,I,State,Nature,Obs
0,215,285,1,1,1
1,202,298,1,1,1
2,189,311,1,1,1
3,273,227,0,1,1
4,189,311,1,0,0
5,202,298,1,0,0
6,202,298,1,0,0
7,202,298,1,0,0
8,229,271,1,1,1
9,205,295,1,1,1
10,207,293,1,0,0
11,231,269,1,1,1
12,196,304,1,1,1
13,213,287,1,0,0
14,184,316,1,0,0
15,196,304,1,1,1
16,290,210,0,0,0
17,204,296,1,0,0
18,249,251,1,0,0
19,250,250,0.5,1,1
20,194,306,1,0,0
21,222,278,1,1,1
22,236,264,1,1,1
23,213,287,1,1,1
24,199,301,1,0,1
25,303,197,0,1,1
26,208,292,1,0,0
27,214,286,1,0,0
28,197,303,1,0,0
29,248,252,1,1,1
30,296,204,0,1,1
31,206,294,1,1,1
32,196,304,1,0,0
33,207,293,1,0,0
34,237,263,1,1,1
35,266,234,0,1,1
36,209,291,1,1,1
37,242,258,1,1,1
38,274,226,0,1,1
39,230,270,1,1,1
