ID,S,I,State,Nature,Obs
0,3,497,1,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,125,375,1,1,1
4,500,0,0,0,0
5,484,16,0,0,0
6,499,1,0,0,0
7,499,1,0,0,0
8,0,500,1,1,1
9,499,1,0,1,1
10,500,0,0,0,0
11,499,1,0,1,1
12,1,499,1,1,1
13,87,413,1,0,0
14,0,500,1,0,0
15,500,0,0,1,1
16,0,500,1,0,0
17,221,279,1,0,0
18,495,5,0,0,0
19,72,428,1,1,1
20,499,1,0,0,0
21,0,500,1,1,1
22,0,500,1,1,1
23,0,500,1,1,1
24,190,310,1,0,1
25,0,500,1,1,1
26,500,0,0,0,0
27,1,499,1,0,0
28,500,0,0,0,0
29,20,480,1,1,1
30,0,500,1,1,1
31,499,1,0,1,1
32,499,1,0,0,0
33,500,0,0,0,0
34,3,497,1,1,1
35,0,500,1,1,1
36,499,1,0,1,1
37,0,500,1,1,1
38,0,500,1,1,1
39,0,500,1,1,1
