ID,S,I,State,Nature,Obs
0,265,235,0,1,1
1,275,225,0,1,0
2,313,187,0,0,0
3,428,72,0,0,0
4,0,500,1,1,1
5,74,426,1,1,0
6,119,381,1,0,0
7,4,496,1,1,1
8,41,459,1,1,1
9,5,495,1,1,0
10,185,315,1,1,0
11,0,500,1,1,0
12,224,276,1,0,0
13,55,445,1,0,0
14,43,457,1,1,1
15,33,467,1,1,1
16,126,374,1,1,1
17,5,495,1,1,1
18,149,351,1,1,1
19,0,500,1,1,0
20,67,433,1,1,0
21,0,500,1,1,1
22,83,417,1,1,1
23,28,472,1,1,1
24,339,161,0,0,0
25,14,486,1,1,1
26,99,401,1,1,0
27,41,459,1,0,0
28,324,176,0,0,0
29,19,481,1,0,1
30,233,267,1,1,1
31,280,220,0,0,1
32,0,500,1,1,0
33,233,267,1,0,0
34,38,462,1,1,1
35,14,486,1,1,1
36,10,490,1,0,0
37,18,482,1,1,1
38,250,250,0.5,0,0
39,38,462,1,1,1
