ID,S,I,State,Nature,Obs
0,463,37,0,0,0
1,0,500,1,1,1
2,0,500,1,1,1
3,7,493,1,1,1
4,3,497,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,0
8,0,500,1,1,0
9,0,500,1,1,1
10,0,500,1,1,1
11,1,499,1,1,1
12,500,0,0,0,0
13,0,500,1,0,0
14,500,0,0,1,1
15,0,500,1,0,1
16,0,500,1,1,1
17,0,500,1,1,1
18,500,0,0,0,0
19,0,500,1,1,0
20,0,500,1,1,1
21,0,500,1,1,1
22,498,2,0,0,0
23,19,481,1,1,1
24,500,0,0,1,1
25,0,500,1,1,1
26,0,500,1,1,0
27,500,0,0,1,1
28,0,500,1,1,1
29,0,500,1,0,0
30,489,11,0,0,0
31,472,28,0,0,0
32,0,500,1,1,1
33,500,0,0,1,1
34,0,500,1,1,1
35,59,441,1,1,1
36,0,500,1,1,1
37,0,500,1,1,1
38,0,500,1,1,1
39,460,40,0,0,0
