ID,S,I,State,Nature,Obs
0,103,397,1,1,1
1,99,401,1,1,1
2,91,409,1,1,1
3,179,321,1,1,0
4,77,423,1,0,0
5,74,426,1,1,0
6,93,407,1,0,0
7,101,399,1,1,1
8,119,381,1,0,0
9,94,406,1,0,0
10,83,417,1,1,1
11,138,362,1,0,0
12,80,420,1,1,1
13,117,383,1,1,1
14,89,411,1,1,1
15,84,416,1,1,1
16,179,321,1,1,1
17,79,421,1,1,1
18,155,345,1,1,1
19,152,348,1,1,1
20,97,403,1,1,0
21,118,382,1,0,0
22,155,345,1,1,0
23,92,408,1,1,0
24,73,427,1,1,0
25,213,287,1,1,1
26,97,403,1,0,1
27,91,409,1,1,1
28,95,405,1,1,1
29,162,338,1,0,0
30,203,297,1,1,1
31,99,401,1,1,1
32,103,397,1,1,1
33,89,411,1,1,1
34,113,387,1,0,0
35,180,320,1,1,0
36,79,421,1,0,0
37,137,363,1,1,1
38,177,323,1,1,1
39,123,377,1,1,0
